['gpt-4', 'dm1', 0, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 29, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 30, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 31, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 32, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 33, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 34, '0:00:15', 1, 168, True, True, True]
['gpt-4', 'dm1', 35, '0:00:26', 1, 165, True, True, True]
['gpt-4', 'dm1', 36, '0:00:22', 1, 168, True, True, True]
['gpt-4', 'dm1', 37, '0:00:19', 1, 168, True, True, True]
['gpt-4', 'dm1', 38, '0:00:20', 1, 168, True, True, True]
['gpt-4', 'dm1', 39, '0:00:16', 1, 177, True, True, True]
['gpt-4', 'dm1', 40, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 41, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 42, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 43, '0:00:20', 1, 168, True, True, True]
['gpt-4', 'dm1', 44, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 45, '0:00:16', 1, 168, True, True, True]
['gpt-4', 'dm1', 46, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 47, '0:00:25', 1, 162, True, True, True]
['gpt-4', 'dm1', 48, '0:00:31', 1, 168, True, True, True]
['gpt-4', 'dm1', 49, '0:00:27', 1, 171, False, False, True]
['gpt-4', 'dm1', 50, '0:00:24', 1, 156, True, True, True]
['gpt-4', 'dm1', 51, '0:00:26', 1, 165, True, True, True]
['gpt-4', 'dm1', 52, '0:00:25', 1, 169, True, True, True]
['gpt-4', 'dm1', 53, '0:00:29', 1, 168, True, True, True]
['gpt-4', 'dm1', 54, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 55, '0:00:28', 1, 159, True, True, True]
['gpt-4', 'dm1', 56, '0:00:17', 1, 168, True, True, True]
['gpt-4', 'dm1', 57, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 58, '0:00:20', 1, 174, True, True, True]
['gpt-4', 'dm1', 59, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 60, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 61, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 62, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 63, '0:00:17', 1, 171, True, True, True]
['gpt-4', 'dm1', 64, '0:00:16', 1, 180, True, True, True]
['gpt-4', 'dm1', 65, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 66, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 67, '0:00:28', 1, 174, True, True, True]
['gpt-4', 'dm1', 68, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 69, '0:00:29', 1, 168, True, True, True]
['gpt-4', 'dm1', 70, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 71, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 72, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 73, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 74, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 75, '0:00:22', 1, 168, True, True, True]
['gpt-4', 'dm1', 76, '0:00:17', 1, 162, True, True, True]
['gpt-4', 'dm1', 77, '0:00:20', 1, 168, True, True, True]
['gpt-4', 'dm1', 78, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 79, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 80, '0:00:17', 1, 168, True, True, True]
['gpt-4', 'dm1', 81, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 82, '0:00:22', 1, 168, True, True, True]
['gpt-4', 'dm1', 83, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 84, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 85, '0:00:24', 1, 156, True, True, True]
['gpt-4', 'dm1', 86, '0:00:20', 1, 168, True, True, True]
['gpt-4', 'dm1', 87, '0:00:15', 1, 168, True, True, True]
['gpt-4', 'dm1', 88, '0:00:17', 1, 168, True, True, True]
['gpt-4', 'dm1', 89, '0:00:22', 1, 168, True, True, True]
['gpt-4', 'dm1', 90, '0:00:22', 1, 168, True, True, True]
['gpt-4', 'dm1', 91, '0:00:22', 1, 171, True, True, True]
['gpt-4', 'dm1', 92, '0:00:22', 1, 168, True, True, True]
['gpt-4', 'dm1', 93, '0:00:16', 1, 168, True, True, True]
['gpt-4', 'dm1', 94, '0:00:20', 1, 168, True, True, True]
['gpt-4', 'dm1', 95, '0:00:17', 1, 153, True, True, True]
['gpt-4', 'dm1', 96, '0:00:20', 1, 168, True, True, True]
['gpt-4', 'dm1', 97, '0:00:20', 1, 168, True, True, True]
['gpt-4', 'dm1', 98, '0:00:21', 1, 168, True, True, True]
['gpt-4', 'dm1', 99, '0:00:13', 1, 177, True, True, True]
